Date,Start,End,Miles
2012-05-20,"Stewart Hollow Brook Shelter, CT",Riga Shelter,29.8
2012-05-21,Riga Shelter,"Mt. Wilcox South Shelter, MA",29.7
2012-05-22,"Mt. Wilcox South Shelter, MA",October Mountain Shelter,24.6
2012-05-23,October Mountain Shelter,Dalton,11.8
2012-05-24,Dalton,Dalton,0.0
2012-05-25,Dalton,Dalton,0.0
2012-05-26,Dalton,Seth Warner Shelter,30.4
2012-05-27,Seth Warner Shelter,Story Spring Shelter,30.5
2012-05-28,Story Spring Shelter,Peru Peak Shelter,31.2
2012-05-29,Peru Peak Shelter,VT 103,22.3
2012-05-30,VT 103,Gifford Woods State Park,20.7
2012-05-31,Gifford Woods State Park,Happy Hill Shelter,37.0
2012-06-01,Happy Hill Shelter,"Hexacuba Shelter, NH",34.5
2012-06-02,"Hexacuba Shelter, NH",Glencliff,14.6
2012-06-03,Glencliff,Kinsman Notch,9.5
2012-06-04,Kinsman Notch,Franconia Notch,16.3
2012-06-05,Franconia Notch,Zealand Falls Hut,20.0
2012-06-06,Zealand Falls Hut,Madison Spring Hut,25.9
2012-06-07,Madison Spring Hut,Rattle River Shelter,27.0
2012-06-08,Rattle River Shelter,Gentian Pond Shelter,13.7
2012-06-09,Gentian Pond Shelter,"Baldpate Lean-to, ME",21.6
2012-06-10,"Baldpate Lean-to, ME",Bemis Mountain Lean-to,25.1
2012-06-11,Bemis Mountain Lean-to,Poplar Ridge Lean-to,28.4
2012-06-12,Poplar Ridge Lean-to,Stratton,21.5
2012-06-13,Stratton,Stratton,0.0
2012-06-14,Stratton,Pierce Pond Lean-to,33.0
2012-06-15,Pierce Pond Lean-to,Horseshoe Canyon Lean-to,31.7
2012-06-16,Horseshoe Canyon Lean-to,Long Pond Stream Lean-to,24.1
2012-06-17,Long Pond Stream Lean-to,East Branch Lean-to,31.6
2012-06-18,East Branch Lean-to,Nesuntabunt Mountain,31.5
2012-06-19,Nesuntabunt Mountain,Katahdin Stream Campground,31.1
2012-06-20,Katahdin Stream Campground,"Wassataquoik Lean-to, IAT",21.7
2012-06-21,"Wassataquoik Lean-to, IAT",Matagamon Wilderness Campground,25.4
2012-06-22,Matagamon Wilderness Campground,Stevens House,34.5
2012-06-23,Stevens House,Houlton,20.0
2012-06-24,Houlton,MacDonald House,0.0
2012-06-25,MacDonald House,Dalton House,9.6
2012-06-26,Dalton House,Dalton House,0.0
2012-06-27,Dalton House,Dalton House,0.0
2012-06-28,Dalton House,Dalton House,0.0
2012-06-29,Dalton House,Cummings Farm,31.5
2012-06-30,Cummings Farm,"ATV Trail, NB",27.9
2012-07-01,"ATV Trail, NB",Miller House,0.0
2012-07-02,Miller House,Beautiful Downtown Nictau,0.0
2012-07-03,Beautiful Downtown Nictau,"Matapedia, QC",0.0
2012-07-04,"Matapedia, QC",Refuge Le Quartz,28.1
2012-07-05,Refuge Le Quartz,Causapscal,27.2
2012-07-06,Causapscal,Amqui,30.3
2012-07-07,Amqui,Montreal,0.0
2012-07-08,Montreal,Montreal,0.0
2012-07-09,Montreal,Trudeau Airport,0.0
2012-07-10,Trudeau Airport,"Hotel Mac, Point Richmond, CA",0.0
2012-07-11,"Hotel Mac, Point Richmond, CA","Hotel Mac, Point Richmond, CA",0.0
2012-07-12,"Hotel Mac, Point Richmond, CA","Hotel Mac, Point Richmond, CA",0.0
2012-07-13,"Hotel Mac, Point Richmond, CA","Hotel Mac, Point Richmond, CA",0.0
2012-07-14,"Hotel Mac, Point Richmond, CA","Hotel Mac, Point Richmond, CA",0.0
2012-07-15,"Hotel Mac, Point Richmond, CA","Montreal, QC",0.0
2012-07-16,"Montreal, QC","Perth-Andover, NB",0.0
2012-07-17,"Perth-Andover, NB",Plaster Rock,27.9
2012-07-18,Plaster Rock,Beautiful Downtown Nictau,32.2
2012-07-19,Beautiful Downtown Nictau,NB 108,33.2
2012-07-20,NB 108,Saint-Jean-Baptiste-de-Restigouche,34.1
2012-07-21,Saint-Jean-Baptiste-de-Restigouche,Amqui,46.2
2012-07-22,Amqui,Poste John Camp,27.9
2012-07-23,Poste John Camp,Lac Matane Refuge,25.2
2012-07-24,Lac Matane Refuge,Lac Beaulieu Refuge,15.2
2012-07-25,Lac Beaulieu Refuge,La Nyctale Refuge,23.5
2012-07-26,La Nyctale Refuge,La Paruline Refuge,31.7
2012-07-27,La Paruline Refuge,Le Tetras Refuge,21.5
2012-07-28,Le Tetras Refuge,Las Cabourons Refuge,16.8
2012-07-29,Las Cabourons Refuge,Gros-Morne,26.4
2012-07-30,Gros-Morne,Le Grand Sault Shelter,26.9
2012-07-31,Le Grand Sault Shelter,Les Cascades Refuge,30.0
2012-08-01,Les Cascades Refuge,L'Érablière Refuge,35.5
2012-08-02,L'Érablière Refuge,Cap Gaspé,34.1
2012-08-03,Cap Gaspé,Riviere-du-Loup Bus Station,0.0
2012-08-04,Riviere-du-Loup Bus Station,"Albany, PEI",5.2
2012-08-05,"Albany, PEI",Charlottetown,34.3
2012-08-06,Charlottetown,"Munroe's Island Campground, NS",41.5
2012-08-07,"Munroe's Island Campground, NS",Churchville,36.1
2012-08-08,Churchville,Arsaig Provincial Park,39.3
2012-08-09,Arsaig Provincial Park,Antigonish,42.2
2012-08-10,Antigonish,Antigonish,0.0
2012-08-11,Antigonish,Baddeck,40.1
2012-08-12,Baddeck,North Sydney,20.7
2012-08-13,North Sydney,"Channel-Port aux Basques, NL",3.8
2012-08-14,"Channel-Port aux Basques, NL",Gravel Lot off Trans Canada Highway,44.1
2012-08-15,Gravel Lot off Trans Canada Highway,Barachois Poind Provincial Park,47.5
2012-08-16,Barachois Poind Provincial Park,Corner Brook,40.5
2012-08-17,Corner Brook,Warm Up Inn,33.9
2012-08-18,Warm Up Inn,Rocky Harbour,31.6
2012-08-19,Rocky Harbour,Rocky Harbour,0.0
2012-08-20,Rocky Harbour,Parson's Pond,34.7
2012-08-21,Parson's Pond,River of Ponds,39.6
2012-08-22,River of Ponds,Eddie's Cove West,38.6
2012-08-23,Eddie's Cove West,Flower's Cove,37.2
2012-08-24,Flower's Cove,Island Resource Road,43.4
2012-08-25,Island Resource Road,Crow Head!,30.9
2012-08-26,Crow Head,St. Anthony,0.0
2012-08-27,St. Anthony,St. Anthony,0.0
2012-08-28,St. Anthony,St. Anthony,0.0
2012-08-29,St. Anthony,St. John's,0.0
2012-08-30,St. John's,"""The Real World""",0.0
